category,name,address,city,state,zip,latitude,longitude,phone,description
Casinos,Best Western Pichi's Convention Center,Exit 205 Road 127 Km 8.6,Guayanilla,PR,656,18.02364,-66.792989,787-835-3335,"Open until 4 in the morning, this Guayanilla casino has a whopping 317 slot machines and 12,400 square feet of gaming space."
Casinos,Casino Del Mar at La Concha Hotel,1077 Ashford Avenue,San Juan,PR,907,18.46617,-66.106654,787-721-8500,"Located in the hub of Condadoís nightlife, the casino at the posh La Concha Hotel is open 24 hours and is the hotspot to see and be seen"
Casinos,Casino Del Sol at Courtyard by Marriott,7012 Boca de Cangrejos Ave.,Carolina,PR,979,18.442644,-66.023135,787-791-0404,"Open 24 hours, this beachfront Isla Verde Casino has everything from blackjack to mini baccarat, laid out in over 14,000 square feet of space."
Casinos,Casino Metro at Sheraton Convention Center,200 Convention Boulevard,San Juan,PR,907,18.46617,-66.106654,787-993-3500,"Located in the modern Convention District of Miramar, the casino at the Sheraton Convention Center has over 20,000 square feet of space and is open 24 hours."
